Mission Name,Mission Type,Country,Launch Site,Budget (in Billion $),Success Rate (%),Satellite Type,Technology Used,Environmental Impact,Mission Duration (Days),Company,Location,Datum (Launch DateTime),Rocket Name,Status Rocket,Rocket Cost (in $ Million),Status Mission,Year
India-Spy-Ariane-2009-131,Satellite Deployment,India,Al Dhafra,29.91,97.83,Spy,AI-Based Navigation,High,199,NASA,Al Dhafra,2009-09-14 08:49:00,Ariane 5,Active,24781.47,Failure,2009
Russia-Navigation-Long-2023-132,Unmanned,Russia,Baikonur,42.0,76.18,Navigation,AI-Based Navigation,High,254,ESA,Baikonur,2023-04-07 19:55:00,Long March 5,Active,37011.07,Success,2023
Russia-Communication-GSLV-2011-133,Satellite Deployment,Russia,Baikonur,3.29,91.7,Communication,Reusable Rocket,Medium,238,ESA,Baikonur,2011-03-05 12:03:00,GSLV Mk III,Retired,3680.96,Partial Failure,2011
USA-Spy-Falcon-2012-134,Manned,USA,Jiuquan,49.83,89.99,Spy,Reusable Rocket,Medium,195,SpaceX,Jiuquan,2012-10-20 01:20:00,Falcon 9,Retired,46504.3,Partial Failure,2012
India-Weather-GSLV-2008-135,Satellite Deployment,India,Kourou,42.56,77.57,Weather,Reusable Rocket,Low,153,ISRO,Kourou,2008-08-16 07:49:00,GSLV Mk III,Retired,31852.28,Success,2008
India-Research-Long-2019-136,Research,India,Sriharikota,47.73,68.92,Research,Reusable Rocket,Medium,370,ESA,Sriharikota,2019-09-06 16:50:00,Long March 5,Active,45997.63,Success,2019
Russia-Communication-Soyuz-2021-137,Unmanned,Russia,Al Dhafra,31.1,64.43,Communication,AI-Based Navigation,High,354,ISRO,Al Dhafra,2021-08-11 03:58:00,Soyuz,Active,25343.32,Success,2021
China-Research-New-2007-138,Manned,China,Al Dhafra,26.26,80.29,Research,Traditional Rocket,Medium,68,Roscosmos,Al Dhafra,2007-09-25 04:47:00,New Shepard,Retired,27924.65,Failure,2007
France-Research-Ariane-2015-139,Satellite Deployment,France,Sriharikota,27.82,94.19,Research,Traditional Rocket,Low,74,NASA,Sriharikota,2015-04-26 19:19:00,Ariane 5,Retired,26055.18,Success,2015
USA-Communication-New-2018-140,Satellite Deployment,USA,Sriharikota,7.13,89.45,Communication,Traditional Rocket,High,73,NASA,Sriharikota,2018-02-08 15:37:00,New Shepard,Active,4401.13,Success,2018
Russia-Research-Falcon-2011-141,Manned,Russia,Jiuquan,35.35,65.32,Research,Traditional Rocket,Medium,145,ISRO,Jiuquan,2011-01-22 03:02:00,Falcon 9,Active,25726.97,Success,2011
France-Weather-Ariane-2019-142,Research,France,Kourou,17.85,75.3,Weather,Traditional Rocket,Low,351,SpaceX,Kourou,2019-09-24 06:58:00,Ariane 5,Active,17028.02,Success,2019
Russia-Weather-New-2017-143,Satellite Deployment,Russia,Baikonur,45.26,80.05,Weather,Reusable Rocket,Medium,54,ESA,Baikonur,2017-09-23 00:25:00,New Shepard,Retired,36613.23,Failure,2017
Russia-Research-Long-2011-144,Satellite Deployment,Russia,Jiuquan,20.13,93.63,Research,Hybrid Propulsion,Medium,390,SpaceX,Jiuquan,2011-01-05 21:44:00,Long March 5,Retired,19591.56,Partial Failure,2011
UAE-Communication-Ariane-2023-145,Research,UAE,Baikonur,7.78,79.19,Communication,AI-Based Navigation,Medium,248,Roscosmos,Baikonur,2023-06-17 08:11:00,Ariane 5,Active,8993.31,Success,2023
USA-Research-Soyuz-2019-146,Satellite Deployment,USA,Cape Canaveral,23.23,79.21,Research,Traditional Rocket,High,396,ISRO,Cape Canaveral,2019-07-06 12:15:00,Soyuz,Retired,27597.69,Success,2019
USA-Spy-Falcon-2018-147,Manned,USA,Baikonur,31.85,62.96,Spy,Reusable Rocket,Low,298,Blue Origin,Baikonur,2018-07-15 02:07:00,Falcon 9,Retired,23699.18,Success,2018
China-Spy-Long-2009-148,Research,China,Cape Canaveral,6.84,65.41,Spy,Reusable Rocket,High,63,ISRO,Cape Canaveral,2009-02-27 04:53:00,Long March 5,Active,4727.41,Success,2009
UAE-Spy-Soyuz-2007-149,Unmanned,UAE,Al Dhafra,9.5,94.97,Spy,AI-Based Navigation,High,221,ISRO,Al Dhafra,2007-10-09 15:36:00,Soyuz,Active,7670.3,Success,2007
Russia-Navigation-Soyuz-2009-150,Research,Russia,Kourou,33.54,67.5,Navigation,Traditional Rocket,Low,53,ESA,Kourou,2009-12-09 09:03:00,Soyuz,Retired,23591.77,Success,2009
China-Weather-Long-2019-151,Manned,China,Sriharikota,8.86,66.9,Weather,AI-Based Navigation,High,234,Blue Origin,Sriharikota,2019-11-19 13:12:00,Long March 5,Retired,6796.99,Success,2019
France-Navigation-Ariane-2023-152,Satellite Deployment,France,Baikonur,6.47,68.05,Navigation,Hybrid Propulsion,Low,380,Blue Origin,Baikonur,2023-07-08 21:56:00,Ariane 5,Retired,5670.74,Success,2023
Russia-Navigation-New-2015-153,Unmanned,Russia,Al Dhafra,25.42,61.53,Navigation,Hybrid Propulsion,Medium,302,ISRO,Al Dhafra,2015-09-25 08:16:00,New Shepard,Active,25781.9,Failure,2015
India-Research-GSLV-2017-154,Satellite Deployment,India,Kourou,31.58,94.07,Research,Reusable Rocket,Low,360,ESA,Kourou,2017-01-02 22:11:00,GSLV Mk III,Retired,20497.17,Partial Failure,2017
China-Weather-Falcon-2005-155,Unmanned,China,Jiuquan,3.52,91.44,Weather,Traditional Rocket,Low,299,ISRO,Jiuquan,2005-03-17 07:54:00,Falcon 9,Retired,2696.77,Success,2005
China-Communication-Long-2023-156,Manned,China,Sriharikota,9.63,74.45,Communication,Hybrid Propulsion,Low,181,Blue Origin,Sriharikota,2023-07-04 19:54:00,Long March 5,Active,6987.62,Success,2023
USA-Research-GSLV-2021-157,Satellite Deployment,USA,Sriharikota,31.1,78.04,Research,AI-Based Navigation,Low,331,NASA,Sriharikota,2021-07-18 17:56:00,GSLV Mk III,Active,25543.93,Success,2021
India-Communication-GSLV-2021-158,Satellite Deployment,India,Cape Canaveral,2.32,87.82,Communication,Traditional Rocket,Low,51,SpaceX,Cape Canaveral,2021-02-08 22:32:00,GSLV Mk III,Active,1743.39,Failure,2021
France-Spy-Ariane-2005-159,Unmanned,France,Jiuquan,25.83,64.18,Spy,Traditional Rocket,Low,331,Roscosmos,Jiuquan,2005-03-24 03:29:00,Ariane 5,Retired,23744.69,Success,2005
UAE-Weather-Falcon-2005-160,Unmanned,UAE,Al Dhafra,26.86,70.5,Weather,Hybrid Propulsion,Medium,62,ISRO,Al Dhafra,2005-06-04 13:31:00,Falcon 9,Active,20023.65,Success,2005
USA-Spy-GSLV-2020-161,Satellite Deployment,USA,Baikonur,1.49,68.25,Spy,AI-Based Navigation,Low,341,NASA,Baikonur,2020-02-06 09:46:00,GSLV Mk III,Retired,1181.94,Success,2020
France-Weather-GSLV-2011-162,Research,France,Baikonur,6.43,83.15,Weather,Traditional Rocket,High,368,ISRO,Baikonur,2011-04-11 07:59:00,GSLV Mk III,Retired,7293.65,Success,2011
India-Communication-Long-2021-163,Satellite Deployment,India,Jiuquan,39.56,63.39,Communication,Hybrid Propulsion,Low,32,NASA,Jiuquan,2021-05-07 02:02:00,Long March 5,Retired,35567.02,Success,2021
Russia-Communication-Ariane-2008-164,Unmanned,Russia,Baikonur,29.55,76.83,Communication,Traditional Rocket,High,347,Roscosmos,Baikonur,2008-04-27 21:26:00,Ariane 5,Retired,30946.64,Success,2008
France-Navigation-Falcon-2019-165,Unmanned,France,Baikonur,14.55,85.19,Navigation,Hybrid Propulsion,High,340,ESA,Baikonur,2019-12-11 02:18:00,Falcon 9,Retired,11899.71,Success,2019
USA-Weather-Ariane-2022-166,Manned,USA,Sriharikota,18.13,83.63,Weather,Traditional Rocket,Low,317,SpaceX,Sriharikota,2022-03-16 04:56:00,Ariane 5,Active,21609.31,Success,2022
India-Navigation-Soyuz-2020-167,Satellite Deployment,India,Al Dhafra,5.54,69.59,Navigation,Hybrid Propulsion,Medium,21,ESA,Al Dhafra,2020-08-07 04:38:00,Soyuz,Retired,3832.1,Success,2020
UAE-Research-Soyuz-2016-168,Research,UAE,Cape Canaveral,9.74,66.76,Research,AI-Based Navigation,High,250,ISRO,Cape Canaveral,2016-02-12 22:58:00,Soyuz,Retired,7510.1,Failure,2016
UAE-Navigation-Long-2011-169,Research,UAE,Baikonur,4.47,76.01,Navigation,Reusable Rocket,Medium,38,ESA,Baikonur,2011-06-26 08:57:00,Long March 5,Active,4088.74,Partial Failure,2011
USA-Spy-Soyuz-2016-170,Unmanned,USA,Baikonur,6.05,97.81,Spy,Reusable Rocket,High,24,Roscosmos,Baikonur,2016-12-19 17:50:00,Soyuz,Active,5074.22,Failure,2016
USA-Navigation-Soyuz-2016-171,Unmanned,USA,Kourou,40.95,66.66,Navigation,AI-Based Navigation,Medium,159,ISRO,Kourou,2016-06-04 20:41:00,Soyuz,Retired,30906.67,Success,2016
Russia-Spy-New-2024-172,Research,Russia,Al Dhafra,46.5,82.29,Spy,Traditional Rocket,Medium,198,ISRO,Al Dhafra,2024-12-11 19:25:00,New Shepard,Active,43433.68,Success,2024
USA-Research-Soyuz-2006-173,Satellite Deployment,USA,Sriharikota,38.59,72.62,Research,Reusable Rocket,Low,33,ESA,Sriharikota,2006-02-14 19:37:00,Soyuz,Active,27484.81,Success,2006
Russia-Communication-GSLV-2016-174,Research,Russia,Jiuquan,25.63,64.48,Communication,Hybrid Propulsion,High,242,Blue Origin,Jiuquan,2016-10-04 07:08:00,GSLV Mk III,Retired,19105.78,Success,2016
USA-Communication-Ariane-2023-175,Satellite Deployment,USA,Al Dhafra,14.79,66.02,Communication,AI-Based Navigation,High,129,SpaceX,Al Dhafra,2023-09-05 03:24:00,Ariane 5,Active,14031.91,Success,2023
China-Weather-Falcon-2014-176,Unmanned,China,Jiuquan,26.86,73.13,Weather,Traditional Rocket,High,69,ESA,Jiuquan,2014-05-16 23:27:00,Falcon 9,Active,16951.19,Success,2014
China-Spy-New-2010-177,Unmanned,China,Al Dhafra,3.64,72.57,Spy,Reusable Rocket,Medium,14,ISRO,Al Dhafra,2010-12-21 00:59:00,New Shepard,Active,4346.07,Failure,2010
France-Weather-New-2024-178,Satellite Deployment,France,Al Dhafra,13.1,89.65,Weather,Traditional Rocket,High,261,ESA,Al Dhafra,2024-02-12 00:54:00,New Shepard,Active,13216.61,Success,2024
USA-Spy-Ariane-2011-179,Unmanned,USA,Al Dhafra,23.84,73.61,Spy,AI-Based Navigation,Medium,303,ISRO,Al Dhafra,2011-11-21 02:55:00,Ariane 5,Retired,20194.97,Partial Failure,2011
Russia-Spy-Long-2017-180,Unmanned,Russia,Cape Canaveral,41.62,64.85,Spy,Traditional Rocket,High,346,SpaceX,Cape Canaveral,2017-04-12 16:14:00,Long March 5,Retired,49070.65,Success,2017
China-Spy-New-2011-181,Research,China,Al Dhafra,46.95,62.59,Spy,AI-Based Navigation,High,169,NASA,Al Dhafra,2011-02-05 10:37:00,New Shepard,Retired,33275.34,Success,2011
UAE-Communication-Ariane-2006-182,Satellite Deployment,UAE,Cape Canaveral,28.94,65.45,Communication,Reusable Rocket,Medium,27,ISRO,Cape Canaveral,2006-04-15 23:47:00,Ariane 5,Active,31981.51,Failure,2006
USA-Weather-Long-2012-183,Manned,USA,Cape Canaveral,10.48,66.41,Weather,Reusable Rocket,Low,258,Blue Origin,Cape Canaveral,2012-01-11 00:56:00,Long March 5,Retired,7317.07,Failure,2012
UAE-Research-Ariane-2022-184,Satellite Deployment,UAE,Sriharikota,33.43,73.99,Research,Traditional Rocket,Low,353,ISRO,Sriharikota,2022-09-27 20:37:00,Ariane 5,Retired,30549.65,Failure,2022
France-Spy-Soyuz-2010-185,Satellite Deployment,France,Sriharikota,19.93,77.13,Spy,AI-Based Navigation,Low,117,ISRO,Sriharikota,2010-04-17 13:14:00,Soyuz,Retired,21722.9,Success,2010
UAE-Weather-New-2021-186,Manned,UAE,Jiuquan,23.4,89.16,Weather,Traditional Rocket,Medium,83,Blue Origin,Jiuquan,2021-04-15 09:31:00,New Shepard,Active,18271.35,Success,2021
UAE-Navigation-GSLV-2005-187,Research,UAE,Al Dhafra,11.99,74.97,Navigation,Reusable Rocket,Low,98,ISRO,Al Dhafra,2005-03-04 15:46:00,GSLV Mk III,Retired,13665.54,Success,2005
India-Weather-Falcon-2016-188,Research,India,Baikonur,45.37,64.56,Weather,Traditional Rocket,High,87,NASA,Baikonur,2016-02-16 22:59:00,Falcon 9,Active,44215.01,Partial Failure,2016
UAE-Research-Soyuz-2018-189,Manned,UAE,Al Dhafra,31.57,65.43,Research,AI-Based Navigation,Low,315,SpaceX,Al Dhafra,2018-03-16 13:57:00,Soyuz,Active,25285.78,Failure,2018
UAE-Spy-GSLV-2020-190,Satellite Deployment,UAE,Jiuquan,31.19,94.86,Spy,Reusable Rocket,High,85,SpaceX,Jiuquan,2020-03-20 09:18:00,GSLV Mk III,Active,28697.19,Failure,2020
China-Research-Ariane-2008-191,Unmanned,China,Kourou,8.01,69.69,Research,Hybrid Propulsion,Low,36,ESA,Kourou,2008-07-26 17:46:00,Ariane 5,Active,6304.14,Success,2008
USA-Weather-Falcon-2014-192,Satellite Deployment,USA,Sriharikota,2.16,89.74,Weather,Hybrid Propulsion,Medium,203,ESA,Sriharikota,2014-01-18 00:15:00,Falcon 9,Retired,2034.58,Failure,2014
Russia-Weather-New-2005-193,Unmanned,Russia,Jiuquan,17.43,64.31,Weather,Traditional Rocket,Medium,328,NASA,Jiuquan,2005-11-06 02:23:00,New Shepard,Active,19046.71,Failure,2005
India-Weather-Ariane-2011-194,Unmanned,India,Sriharikota,6.81,91.09,Weather,Traditional Rocket,High,310,SpaceX,Sriharikota,2011-09-17 03:34:00,Ariane 5,Retired,5709.32,Success,2011
USA-Research-Ariane-2010-195,Unmanned,USA,Baikonur,11.85,88.08,Research,AI-Based Navigation,Low,264,ISRO,Baikonur,2010-07-03 10:47:00,Ariane 5,Active,12245.22,Success,2010
India-Communication-Soyuz-2020-196,Satellite Deployment,India,Baikonur,34.85,69.82,Communication,Hybrid Propulsion,High,48,NASA,Baikonur,2020-01-12 14:21:00,Soyuz,Retired,32258.37,Success,2020
China-Spy-Ariane-2005-197,Research,China,Baikonur,9.49,82.75,Spy,Reusable Rocket,High,107,ESA,Baikonur,2005-06-17 13:28:00,Ariane 5,Active,10866.72,Success,2005
China-Weather-Ariane-2020-198,Unmanned,China,Sriharikota,23.37,65.98,Weather,AI-Based Navigation,High,99,Blue Origin,Sriharikota,2020-03-09 20:57:00,Ariane 5,Retired,27304.81,Success,2020
USA-Navigation-GSLV-2007-199,Unmanned,USA,Kourou,25.54,60.71,Navigation,Traditional Rocket,High,182,ESA,Kourou,2007-08-05 16:37:00,GSLV Mk III,Active,24693.92,Failure,2007
China-Research-Soyuz-2014-200,Satellite Deployment,China,Kourou,46.64,87.17,Research,AI-Based Navigation,Low,143,NASA,Kourou,2014-10-24 08:11:00,Soyuz,Retired,43798.69,Partial Failure,2014
